researchTitle,program,dateStart,PrincipalInvestigator,dateEnd,coPI,bio
Dissertation Research: The Genetics of Malarial Selection in Sub-Saharan Africa,Biological Anthropology,2002-08-01,Michael Hammer,2004-07-31,Michael Hammer,"The nearly complete sequence of the human genome has greatly enhanced our understanding of human genetics. This single reference sequence, however, is not able to capture the extent and nature of human genetic variation. Efforts are now are shifting to describing patterns of variation across populations and regions of the genome particularly as it relates to human genetic diseases. Disease association studies are proving useful in identifying individuals at risk for certain diseases; however, much of human genomic variation is not related to disease. Patterns of variation can be shaped by natural selection (e.g. on variants in disease-related genes) and historical processes (e.g., migration and genetic drift). Natural selection affects variation associated with a specific gene or set of genes. Additionally, regions associated with a given disease comprise a relatively small portion of the entire genome. Historical processes, on the other hand, affect the entire genome. While a clearer picture of human evolutionary history is emerging, it is not known to what extent historical processes have shaped patterns of variation at disease genes. This study will assess the role of historical processes in shaping variation at genes conferring resistance to the infectious disease, malaria.<br/>Each year malaria affects ~500 million people and kills ~2 million with the vast majority of these deaths occurring in Africa. Alternate forms (alleles) of the beta-globin and G6PD genes are known to confer resistance to malaria and these alleles are found at high frequencies in populations residing in malarial environments. Interestingly the same alleles that confer resistance to malaria can also cause inherited diseases (i.e., sickle cell anemia, G6PD deficiency). The question is what is the relative role of natural selection and historical processes in shaping patterns of variation in and around these genes? To address this the reseachers will perform a two-way controlled comparison of patterns of DNA sequence variation in these two genes in four African populations with different susceptibility to malaria as a selective agent. Two of the four populations (the Luo and Dogon) occupy regions of sub-Saharan Africa that are strongly impacted by malaria, and two populations (the San and Southeastern Bantus) live outside malaria areas. Additionally, to dissect the role of historical processes in shaping variation in these populations, DNA sequences of two other gene regions that are not affected by malaria will be determined. One of these regions is on the tip of chromosome 16 (16p13.3) and the other is within an intron of Duchenne Muscular Dystrophy gene (Dmd intron 44) on the X chromosome. This experimental design should provide a sound hypothesis-testing framework for distinguishing those forces that act a single gene from those that affect the whole genome. Furthermore, collaborations with researchers at the Center for Disease Control in Atlanta and at the Kenya Medical Research Institute in Nairobi, Kenya, as well as the involvement of students from the University of Arizona and Pima Community College, will enhance the intellectual and training environment of this research."
Collaborative Research: A Novel Genetic Database to Test Models of Human Origins,"ARCHAEOLOGY, Biological Anthropology, HUMAN ORIG: MOVING IN NEW DIR",2004-09-01,Michael Hammer,2010-08-31,Michael Hammer,"The human genome holds clues to the mystery of human origins. With the recent completion of the first draft of the human genome sequence scientists are now in a position to examine patterns of variation across the entire genome in multiple human populations. Such an undertaking will facilitate an understanding of events that took place tens of thousands of years ago, and the better design of studies to map genes involved in human disease today. <br/><br/>In this project, scientists from different fields within genetics (both theoretical and empirical population genetics) will gather new data and design novel analytical methods to answer long-standing questions in human evolution. One focus of this research is on the evolutionary relationships of ""archaic"" human groups (such as the Neanderthals in Europe and Homo erectus in Asia) to modern humans. Did archaic forms make any contribution to the contemporary human gene pool, or were Neanderthals and H. erectus completely replaced (without interbreeding) by modern humans as they expanded out of Africa within the last 100 thousand years? Did the ancestors of present day groups make the transition to modern form in a small, isolated part of Africa, or over a broader geographic range with genetic contributions from divergent populations. Another focus of this research is on human population growth. Although our current population size is more than 6 billion, the long-term average population size was probably substantially less than 1 million. When did human populations begin to expand dramatically in size? Was this growth associated with a particular event in human history, such as the advent of language or the invention of agriculture?<br/><br/>This collaborative project seeks to address these and related topics by building a public database of DNA sequences from contemporary human populations, and by developing the computational tools necessary for the analysis of the data. DNA sequences will be otabined from 90 regions of the genome in representatives of six geographically diverse populations (e.g., three from sub-Saharan Africa and three from Eurasia), as well as representatives of humans closest living relatives, the great apes. Statistical and computational methods will be developed for rigorously testing the predictions of alternative hypotheses. The results of this project will be disseminated to a larger audience both through a public website and through an interdisciplinary symposium on human origins that will be organized in the fourth year. <br/><br/>This research has several broader impacts. First, it will encourage debate and interaction among researchers from genetics, paleontology, archaeology, and historical linguistics. Second, the research will integrate research, teaching, and community outreach. Undergraduate students, graduate students, and post-doctoral fellows will be trained in a combination of theoretical and experimental skills. Programs are in place at both the University of Arizona and the University of Southern California for identifying promising candidates from underrepresented minorities and these students will be recruited to participate in the project. While training a new generation of anthropological geneticists this project will facilitate novel discoveries in human origins research."
"Collaborative Research on the Genetic Effects of Culture: Y Chromosome DNA, MtDNA, and Patrilineal Kinship in the Dogon of Mali",Biological Anthropology,2005-08-01,Michael Hammer,2007-07-31,Michael Hammer,"Kinship is a universal feature of human social life and, in the United States, genealogy is the second most popular hobby. Yet despite this fascination with kinship, a fundamental mystery has been neglected: Do people adopt kinship practices that serve the interests of their genes? Or does culture define kinship practices causing genetic underpinnings to become obscured? This study will explore the congruence between the cultural and genetic spheres of kinship and, in so doing, shed light on the broader relationship between biology and culture. It is a collaborative venture that combines the expertise of a human population geneticist with that of an anthropologist. This interdisciplinary research will introduce state of the art molecular technology to ethnographic field studies and provide a rich ethnographic data set to permit new questions to be asked using genetic sequence data. The study focuses on the Dogon, a traditional millet farming people of Mali, West Africa. The Dogon are ideal for this research because they employ a variety of cultural practices that appear to be reproductively motivated. This research will test the hypothesis that these cultural rules serve the genetic interests of those who enforce them and that they lead to a close mapping of culture onto biology. The study will also test alternative hypotheses about the basis for human cooperation. This objective is significant because it will be one of the first analyses of helping behavior in a human population that uses data on genetic relatedness from DNA sequencing. <br/>The broader impacts of the study include the training of American and Malian students in genetic techniques and quantitative fieldwork methods. Medical residents will gain experience in a developing country and share their expertise with a rural African health facility. The results will be disseminated in scientific journals, genetic databases, and a specialized monograph."
U.S. Russia Joint Collaborative Research: Y Chromosome Variation in Native Human Populations of Siberia,"Biological Anthropology, ARCTIC SOCIAL SCIENCES, EAST ASIA AND PACIFIC PROGRAM, CENTRAL & EASTERN EUROPE PROGR",1995-08-15,Michael Hammer,1998-07-31,Michael Hammer,"ABSTRACT HAMMER OPP-9423429 Well publicized genetic studies linking the origin of modern humans to Africa have been based largely on maternally-inherited mitochondrial DNA, which reveal nothing about the role of males in the dynamics of human migration. The overall goal of this research project is to use the Y chromosome (carried by males alone) as an independent tool to test hypotheses regarding the origin and migration patterns of modern human populations and the male-dedicated gene flow in selected regions of the world. This research is the first comprehensive effort to systematically examine genetic variation in the human Y chromosome. These paternally derived data will complement the growing wealth of linguistic and archaeological data in northern Eurasia and give a more complete view of the origins and migration patterns of humans into the New World. *** ??"
U.S - Russia- Mongolia Joint Collaborative Research: Paternal Population Structure and History in North and Central Asia,"Biological Anthropology, ARCTIC SOCIAL SCIENCES, EAST ASIA AND PACIFIC PROGRAM, CENTRAL & EASTERN EUROPE PROGR",1998-08-01,Michael Hammer,2002-07-31,Tatiana Karafet,"Abstract OPP-9806759 Hammer, Michael Karafet, Tatiana University of Arizona Within genetics, the study of lineages that are inherited maternally (mtDNA), paternally (Y chromosomes), or biparentally, can offer different insights into human history. This project focuses on the non-recombining portion of the Y chromosome in Asian populations to shed light on ancient migrations within Asia and movements to the rest of the world. The investigators will continue Y chromosome surveys in 14 native Siberian populations and perform the first detailed study of genetic variation in 12 indigenous Mongolian groups. Y chromosome data will also be collected from 14 West-Central Asian, East Asian, and North-Central Chinese populations. In combination with similar global data, this information will be used to (1) construct Y chromosome haplotypes; (2) measure levels of intra- and inter-group components of variation; (3) establish genetic relationships among these populations from the perspective of male lineages; (4) build a phylogenetic tree that shows how contemporary Y haplotypes evolved from ancestral ones; (5) estimate the time to the most recent common ancestral Y chromosome and the ages of individual mutations in the haplotype tree; and (6) perform statistical tests to identify associations between haplotypes and geography. The combined data will be used to address a number of hypotheses regarding the chronology of the initial peopling of northern Asia, the nature of its ancient human populations, the origins and migration patterns from Asia to Europe and the New World, and an Asian back-to-Africa migration."
The Genetic Basis of Adaptation to Climatic Stress in Siberian Indigenous Populations,"Biological Anthropology, ARCTIC SOCIAL SCIENCES",2013-04-01,Michael Hammer,2016-03-31,Tatiana Karafet,"Our species originated in Africa, and subsequently dispersed to all other continents except Antarctica. During this dispersal, human populations were exposed to a variety of climates that differed substantially from those in their African homeland. Nowhere do these climatic conditions differ more dramatically than in the far northern reaches of Siberia. Indeed, humans represent the only primate species other than the Japanese macaque that has adapted to boreal conditions?where temperatures remain far below freezing for more than half the year?pointing to intense selection pressures that likely drove the enhancement of physiological processes that generate and conserve heat. However, despite the fact that humans have lived in cold climates for millennia, we still know very little about how this process of adaptation occurred at the genetic level. <br/><br/>The native populations of Siberia provide the best opportunity to investigate the genetic basis of cold resistance given their long-term residence in some of the coldest climates on earth. While much of northern Europe was under ice throughout the last glacial period, Siberia remained relatively ice free, and archaeological evidence suggests that people inhabited this region for more than 40,000 years. The successful long-term settlement of this area by humans undoubtedly required multiple adaptations to deal with the extended severe cold stress, dramatic variation in photoperiod, and limited and highly variable food resources. This project will gather genome-wide polymorphism data from 15 populations that live across a large area of Siberia, from regions of southern Siberia to the northernmost settlements on the Taymyr peninsula within the Arctic Circle. Patterns of variation in these cold-adapted populations will be compared with those from Central and East Asian populations that live in warmer climates. Particular attention will be paid to genomic regions containing genes that have been previously implicated in cold adaptation, or that function in known pathways connected to energy metabolism or cold-adapted traits. The combination of dense genetic data, wide geographic population coverage, and several powerful methods for detecting the signatures of natural selection will offer the most comprehensive picture of genetic adaptation to cold in humans to date."
Testing Models of Genetic and Linguistic Change in the Caucasus Mountains,Biological Anthropology,2010-09-15,Michael Hammer,2014-08-31,Tatiana Karafet,"Since the 1980's, researchers have observed correlations between genes, language families, and geography at continental and sub-continental scales. But all such patterns must originate from processes occurring at the community level. The goal of this project is to examine fine-scale patterns of genetic diversity to investigate how historical processes produce genetic, linguistic and cultural change. Specifically, this proposal will gather genome-wide polymorphism data from many of the populations representing different language families in the Caucasus Mountains. The ethnolinguistic groups inhabiting the highlands of the Caucasus speak Nakh-Daghestan (ND) languages that show a very high degree of differentiation given their geographic proximity. The Caucasus region is also of particular interest because it represents one of the first to be settled by expanding farming populations from the Near East, and there is no scientific evidence pointing to subsequent major migrations into the highlands. Thus, the great age and diversification of its populations may well reflect a long-term entrenchment after an initial colonization of a Mesolithic population. In contrast, nearby lowland populations have a history of contact with a variety of populations speaking non-ND languages. The resulting diversity provides a unique opportunity to investigate comparative histories, highlighting the interactive processes that produce a variety of types of genetic and linguistic differentiation. <br/><br/>In collaboration with the Russian Academy of Sciences, this interdisciplinary project will produce a new body of high-density genetic data that will become publicly available, and develop new statistical tools that will be made freely available to the research community. Undergraduate and graduate students will be trained, and collaborators in Russia will share the results of the work through local television broadcasts in the Caucasus. For the local people of the Caucasus, knowledge of genetic ancestry is highly valued, as is an increasing scientific appreciation of their linguistic and cultural diversity."
U.S.-Russia-Mongolia Joint Collaborative Research: Comparative Framework for North Asian Genetic Diversity,"Biological Anthropology, ARCTIC SOCIAL SCIENCES, CENTRAL & EASTERN EUROPE PROGR",2002-09-15,Michael Hammer,2006-08-31,Tatiana Karafet,"This research will use human genomic variation patterns as a tool for testing hypotheses concerning the early peopling of North Asia and the Americas and for assessing the relative effects of sex-specific demographic processes and natural selection in shaping North Asian genetic diversity. Within genetics, the study of lineages that are inherited paternally, maternally or biparentally can offer different insights into the origins and global dispersals of Homo sapiens. The genetic analyses will be applied to a panel of 16 males from each of 6 Siberian populations. Comparisons of intra-specific patterns of variation within and among human populations, and with levels of divergence between humans and great apes at these loci, will enable tests of the effects of natural selection and potential differences in male and female effective population sizes. Informative polymorphisms discovered in this Siberian ascertainment panel will be genotyped in a larger set of North Asian samples to allow further tests of the associations between linguistic, geographic, and genetic variation and the effects of genetic drift, migration, and admixture on North Asian populations. These results will be used to aid in constructing more realistic colonization models involving different stages for the early peopling of the Americas.<br/><br/>Results from this research will enhance our understanding of the evolutionary history of our species. Reconstructing the patterns and processes of human evolution in Asia is of interest because the the earliest dispersal routes of anatomically modern humans out of Africa are not well understood from the archaeological and paleontological records. Further, this region is the origin for subsequent migrations to Japan, Siberia, and the Americas. The 31 native ethnic groups of Siberia, 14 of which are available for this project, offer significant opportunities to examine the evolutionary forces that may have acted on early modern human populations. Until very recently many native Siberian groups retained traditional subsistence economies and lifeways that may have reflected a pre-Neolithic population structure. North Asian populations, especially those adapted to boreal climates in the northernmost regions inhabited by humans, are genetically subdivided, and genetic drift has played a key role in shaping patterns of variation in Siberia. Furthermore, the demographic history of Siberian populations has led to an unusually strong association between language and genetic variation. The proposed research is a first attempt to develop a comparative genetic framework using data obtained from the same set of samples.<br/><br/>The proposed research will directly address three major challenges that now face anthropological geneticists. The multiple locus approach to be taken here will help to understand: (1) which portions of the human genome are variable; (2) how genomic and evolutionary processes have interacted to generate observed patterns of diversity; and (3) what the relative roles of each of these forces have been over different periods of time and in different populations. In addition to having a fascinating evolutionary history, Native Siberian populations represent an ideal model system within which to address these timely issues."
"Dissertation Research: Apportionment of African Genetic Diversity Based on Mitochondrial DNA, Y Chromosome, and X Chromosome Data",Biological Anthropology,2004-07-15,Michael Hammer,2006-06-30,Michael Hammer,"Paleontological, archaeological, and genetic data all point to Africa as the continent where anatomically modern humans originated. However, it is still not known whether modern humans evolved in a small, isolated deme, or over a broader geographic area encompassing many African populations. While detailed analyses of the structure of African genetic variation should help to answer this question, there are very few studies at the nucleotide level other than those involving mtDNA. Here we propose to obtain DNA sequence data from multiple loci to characterize patterns of African genetic variability and to assess the degree of subdivision among modern African populations. <br/><br/>The general research design is to examine DNA sequence variation at four unlinked, neutrally evolving loci in five African populations (n =200): the Khoisan, Southeast Bantu, Bakola, Dogon, and Dinka. Sequence data from the mitochondrial DNA, the Y chromosome, and two genes on the X chromosome will be compared. By examining four loci for which the reconstruction of gene trees is possible, we will be in a position to infer the time to the most recent common ancestor and mutational ages throughout the tree diagrams, and the degree (and age) of population structure at different times in human evolution. <br/><br/>The proposed research will provide the first nucleotide-level estimate of African population subdivision based on multiple loci, and should lead to deeper insights into the effective population sizes of ancestral populations and the evolutionary processes that were involved during the transition to anatomically modern human form. The proposed project would involve the training of undergraduate and graduate students, as well as a member of the Sudanese refugee community in Tucson. Finally, this research will help to expand public knowledge of African population history and indirectly benefit populations that are underrepresented in current medical research."
The X Chromosome and Human Origins,Biological Anthropology,1999-07-15,Michael Nachman,2003-06-30,Michael Hammer,"The primary objective of the proposed research is to study the origin of modern humans using patterns of DNA sequence variation at four genes experiencing low to high amounts of recombination on the X chromosome. Within the last ten years, studies of mitochondrial, Y chromosome, and autosomal genes have been used to make inferences about long-term effective population size, age of lineages, location of ancestral lineages, pattern and timing of major migrations, population expansions, admixtures, and bottlenecks, and the genetic affinities of different ethnic groups. However, recent studies in molecular population genetics have revealed that many genes in the genome are influenced by selection at linked sites and thus do not serve as useful markers for tracking population processes. Genes in regions of the genome experiencing the highest rates of recombination are likely to be the best candidates for evaluating several important parameters of interest in models of human origins, including coalescence time and effective population size.<br/><br/>The proposed research will explicitly evaluate a continuum of models from the Recent African Replacement model to the Multiregional Evolution model using data from the X chromosome. In particular, this research will (1) accurately estimate the time to the most recent common ancestor and the effective population size for individual geographic regions and for the human species as a whole, (2) reconstruct relationships of different geographic groups from patterns of genetic variation, and (3) provide a further test of the hypothesis that natural selection is acting to reduce genetic variability in genomic regions experiencing low rates of recombination. Variation will be assayed by sequencing non-coding DNA in each of two high-recombination genes and two low-recombination genes in a global sample of 40 humans and representatives of the great apes (Pan troglodytes and Pongo pygmaeus). For the two low-recombination genes, an additional 350 individuals representing many major ethnic groups will be surveyed using a mutation detection method (DHPLC) and DNA sequencing.<br/><br/>This proposal represents a collaborative effort that combines expertise in human evolution and population genetics. Global surveys of X chromosome variation will provide a critical framework for testing hypotheses on the origins of anatomically modern human populations and their subsequent dispersals throughout the world. The data generated in this research will also provide one of the most detailed pictures of the<br/>structure of genetic variation at the nucleotide level in a large worldwide sample and will help determine the relative importance of different forces (mutation, drift, selection, and recombination) in shaping patterns of DNA sequence variation in our species."
Dissertation Research: Nucleotide Variability at G6pd and the Signature of Malarial Selection in Humans,Biological Anthropology,2002-08-01,Michael Nachman,2004-07-31,Michael Nachman,"Malaria is a major cause of illness and mortality in humans. Every year nearly 500 million people suffer from malaria and upward of 2 million people die from this tropical parasitic disease. Some human populations that have historically lived in regions with high levels of malaria infections carry genetic resistance factors to the disease. Among these genetic resistance factors are some variants (alleles) of the gene coding for glucose-6-phosphate dehydrogenase (G6PD). Thus G6pd is subject to positive natural selection in some human populations in malarious areas. Few examples of positive natural selection are recognized at the molecular level in humans and the effect of selection on the genome is not yet well understood. To understand the effect of selection on DNA nucleotide variability and to identify a signature of positive natural selection at the molecular level, this research will describe patterns of nucleotide variability within and around the gene coding for G6PD in humans. Specifically, this research will describe patterns of nucleotide variability within G6pd, and at ten other neighboring genes spanning over 2 Mb around G6pd in two distinct human populations from Africa and Iraq that bear independently arisen polymorphisms at G6pd that confer resistance to malaria. A random sample of 50 individuals from the Luo of Kenya, and 50 Iraqi Jews will be used in the study to (i) characterize the signature of selection on G6pd, (ii) characterize variation at loci linked to G6pd, (iii) estimate the age of the selected alleles based on patterns of nucleotide variability, and (iv) compare G6pd systems in Africa and Iraq to distinguish between deterministic factors (e.g. natural selection) and stochastic factors (e.g. genetic drift) that are responsible for shaping the observed nucleotide patterns.<br/>Patterns of nucleotide variability found in this study at G6pd that are due to selection by malaria will shed light on the evolutionary history of the association between Plasmodium falciparum (the primary human malaria parasite) and humans, a topic that is still not clearly understood. Furthermore, the ability to recognize the signature of positive natural selection in general at the molecular level in humans will be useful to possibly identify additional human genes that are subject to selection by various infectious diseases and ecological factors."
DNA Variability and Natural Selection in House Mice and Humans,"POPULATION DYNAMICS, Biological Anthropology",1997-02-01,Michael Nachman,2001-01-31,Michael Nachman,"9628942 Nachman A central goal of population genetics is to understand the forces that determine the amount and distribution of genetic variation in natural populations of organisms. The primary goal of this project is to look for evidence of natural selection in patterns of DNA sequence variation in populations of mice and humans. The second objective is to determine the relative importance of two forms of selection: the spread of new beneficial mutations, and the elimination of deleterious mutations from populations. Recent improvements in molecular techniques and statistical analyses will be used to sequence and analyze patterns of DNA variation, in 20 genes in house mice (Mus domesticus) and 10 genes in humans, as well as in two species of mice (Mus spretus and Mus caroli) closely related to the house mouse and in two primates (Orangutan and Common chimpanzee) closely related to humans. Genes from the X chromosome and from several other chromosomes will be sequenced. An important aim of this work is to determine the relationship between the amount of genetic variation at each gene and the rate of recombination (the amount of genetic mixing between the two copies of a gene in individuals). Work in fruit flies and preliminary work in mice suggests that genes with more recombination are more variable. This has important implications; for example, conservation biologists interested in estimating genetic variability in a species will need to sample genes with both high and low recombination rates. This project will provide insight into the processes affecting the amount and distribution of genetic variation in nature. This is essential not only for conservation biology but also for understanding the genetic basis of evolutionary change in any organism. Moreover, the work on humans will document the amount of genetic variability within and between different regions of the world and will provide important clues to the origins and migrations of modern humans."
Dissertation Research: The Ethnoarchaeology of Andean Pastoralism,ARCHAEOLOGY,1992-11-01,Michael Schiffer,1995-08-31,Axel Nielson,"Under the direction of Dr. Michael Schiffer, Mr. Axel Nielson will conduct field research to collect data for his doctoral dissertation. He will spend 18 months working in the community of Cerrillos located in the highlands of Bolivia. Cerrillos is one of the few communities of the Bolivian Altiplano that still practices a purely pastorial economy that has characterized the Andean highlands for thousands of years. Inhabitants still maintain a long-distance caravan trade using llamas as pack animals. Mr. Axel Nielson will conduct an ""ethnoarchaeological"" study: that is he will examine present practices in an attempt to understand the past. While it is known that pastoralism was practiced prehistorically in many parts of the world, it is not well understood what role this way of life played in the development of complex civilizations. In part this is because archaeologists don't understand how to interpret the material remains they recover. It is not clear what kind of archaeological ""signals"" a pastoral way of life leaves on the ground. Mr. Nielson research will visit all households in the community and select several for intensive study. He will participate in caravan trips and in the main non-daily activities carried out throughout the annual cycle. He will survey pastures and water resources and conduct an in-depth analysis of surface refuse distributions at selected settlements. This research is important because it will provide scientists with the tools to interpret a little-understood aspect of the past. A major road construction program is planned for this region and the behaviors Mr. Nielson plans to observe will soon disappear. The project will also assist in the training of a promising young scientist."
Dissertation Research: Mobility and Farmers: Adaptive Diversity in the American Southwest,ARCHAEOLOGY,1989-12-01,Michael Schiffer,1991-11-30,Michael Schiffer,"Under the direction of Dr. E. Charles Adams, Ms. Lisa Young will analyze materials from two archaeological sites located within Homolovi Ruins State Park, near Winslow, Arizona. These will provide the basis for her doctoral dissertation. The sites, a pithouse village labeled HP-36 and a nearby pueblo Homolovi II, span the period between ca. 700 A.D. - 1350 A.D. and document the development of a Native American settled way of life in the southwestern United States. Analyses will be conducted on the abundant faunal and floral remains recovered from the sites. Detailed examination of the associated lithic assemblages will provide insight into stone tool use. The data, taken together, will allow Ms. Young to determine when within this period the shift to a settled lifestyle occurred. Archaeologists working in the Southwest have long believed that the construction of semi-underground dwellings, given the amount of labor involved, indicate a sedentary way of life and have used such dwellings as an indicator of an agricultural mode of subsistence and sign of increased cultural complexity. Recently, however, other archaeologists have suggested that such is not the case and the builders of such houses may still follow a hunting and gathering way of life. Through examination of lithic, faunal, and floral remains Ms. Young will directly evaluate this hypothesis. This research is important for several reasons. It will increase our understanding of how complex societies such as our own emerge. It will also aid in the development of analytic techniques which can be applied to a variety of sites in many parts of the world. The project will increase our understanding of Native American prehistory and also assist in the training of an extremely promising young scientist."
Doctoral Dissertation Research: Archaeomagnetism in the U.S. Southeast,ARCHAEOLOGY,2003-05-01,Michael Schiffer,2004-04-30,Michael Schiffer,"Under the direction of Dr. Michael Schiffer, Ms. Stacey Lengyel will collect and analyze data necessary for the completion of her doctoral dissertation. This project seeks to provide archaeologists working in the U.S. Southeast with a new way to date their archaeological findings. The technique that will be established through this project is called archaeomagnetic dating, and it uses preserved records of changes in the position of the earth's magnetic north pole to date burned, clay-rich archaeological features such as cooking hearths, pottery kilns, or the walls and floors of burned structures. This technique has been used successfully over the past 30 years to date sites throughout the U.S. Southwest, Europe and Japan, and this project aims to make the dating technique possible in the U.S. Southeast as well.<br/><br/>Archaeomagnetic dating depends on 1) the fact that the earth's magnetic north pole drifts around the geographic rotation axis on the order of decades, and 2) the fact that burned, clay-rich archaeological features, such as cooking hearths, accurately record the position of the magnetic north pole at the time they were last fired (e.g., the last time a cooking hearth was used). When enough archaeomagnetic directional data are collected from well-dated archaeological features (e.g., a cooking hearth that also yielded a radiocarbon date) in a given region, a master record of archaeomagnetic change can be constructed in the form of a regional reference curve. However, due to local variations in the magnetic field, each reference curve is only valid over a 2000-km wide region. Therefore, the goal of this project is to construct the reference curve for the Southeast, thus making archaeomagnetic dating possible in this region.<br/><br/>This project is important because it will provide archaeologists working in the U.S. Southeast with a means of establishing, verifying, and refining the temporal frameworks needed to address basic anthropological questions about past cultures. By furnishing researchers with tighter temporal control over the archaeological data, the regional archaeomagnetic curve developed through this project will allow archaeologists to examine the play of sociocultural processes across time and space and at a variety of scales, ranging from the sub-site level (e.g., between structures) to the pan-continent level (e.g., between the Tennessee River Valley and the Phoenix Basin). In short, the completion of the Southeast archaeomagnetic curve will provide researchers with an independent dating method that not only complements existing chronometric tools, but, when used in conjunction with those tools will allow for more temporally refined treatments of prehistoric cultural processes. This award will also assist in training a promising young scientist."
Dissertation Research: Mind the Gap: The Dynamics and Work of Aging and Caring at Home,CULTURAL ANTHROPOLOGY,2009-08-15,Mimi Nichter,2012-01-31,Lauren Penney,"Doctoral student Lauren Penney (University of Arizona), under the supervision of Dr. Mimi Nichter, will investigate how the processes at work in aging and home care are affected by such factors as cultural conceptions of aging and health, socio-economic status, and the broader political economy. Her research will focus on home health agencies, direct care workers, and aging older adults and their families as they negotiate the requirements of Medicare-reimbursed home health care. <br/><br/>The research will be carried out in southern Arizona. The research will employ multiple methods, including in-depth interviews, job shadowing (of health care workers), participant observation, focus groups, and surveys. <br/>She will examine the relationship between Medicare eligibility requirements, views of users of home health care, and the direct care workers' senses of their own professional and moral obligations. The study will explore how older adults (and their families) manage gaps that may emerge between (1) their experience of home as private and a site of the provision of health care, (2) the cultural background and life experiences of themselves and their direct care providers, (3) how older adults are represented in relation to cultural ideals, and (4) their social and health care needs and what is available in the long-term care system. <br/><br/>The research will contribute to social science theory of the relationship between formal institutions and the human experience of the life cycle. At this historical juncture, as a new administration takes office during a time of economic crisis, entitlement programs such as Medicare have been targeted for reform. This research will provide a meticulous, in-depth analysis how how the system works at multiple levels of scale and from the perspectives of multiple stakeholder. This will provide policy makers a comprehensive and culturally sensitive analysis of the workings of the current long term care system."
"Systematic, Intensive Surface-Survey at Sisupalgarh: First-Millennium Urbanism and Economic in India",ARCHAEOLOGY,1999-08-01,Monica Smith,2003-10-31,Monica Smith,"With National Science Foundation support Dr. Monica Smith will conduct two seasons of archaeological fieldwork at the site of Sisupalgarh, located in the state of Orissa, India. Occupied during the early historic period, this city covers 130 hectares and is enclosed by a large brick and mud rampart with eight gateways. Buildings were constructed in both stone as well as brick and monolithic pillars testify to the monumental architecture present. Prior work has indicated a rich and varied artifact repertoire including metal objects (nails, rings, projectile points, sickles) ornaments, coins, beads of ivory and stone as well as abundant ceramics. Four distinct periods spanning the 300 BC to 350 AD period of occupation have been identified. With NSF support Dr. Smith and her colleagues will conduct a systematic archaeological surface survey of the site to provide data on economic, social and political activities. A detailed topographic map will be prepared and a grid of 50 x 50 meter squares established. This will provide the base for a systematic non-aligned random collection. The data gathered through the two-year field season will be analyzed using GIS to examine how different production and consumption indicators are spatially distributed. On this basis it will be possible to determine the range of activities, commercial and domestic, and how these were integrated into broader economic, social and political systems.<br/><br/>The goal of the project is to evaluate the economic and social configuration of a city under conditions of increasing sociopolitical complexity. Unlike regions of the world in which the emergence of cities is closely linked to broader state level political organization, the Indian subcontinent presents an archaeological record of cities without states. Sisupalgarh and other Indian cities thrived in a period in which political organization was relatively weak and urban zones appear to have been the largest consistent unit of territorial integration in which political leaders invested any surplus in highly visible landscape modifications such as fortifications and monumental architecture. This project will provide insight into how these unusual entities functioned and how they developed and changed over time. The project is also important because it will assist the career development of a promising young scientist."
Storage Improvement and Stabilization of Archaeological Textiles,SYSTEMATIC ANTHROPOLOGICAL COL,1989-07-15,Nancy Odegaard,1992-06-30,G. Michael Jacobs,"The Arizona State Museum, part of the University of Arizona at Tucson, houses an excellent archaeological textile collection which includes approximately 1200 textiles and textile fragments. A 1987 conservation condition survey identified ca. 300 items which required improved storage conditions and 26 items in need of immediate conservation. With NSF support both goals will be achieved. The project includes examination, photodocumentation, and historical research on the materials. They will be carefully removed from damaging backings, mounts, and supports. Protective archival mounts and pads will be constructed, and the textiles will be stored in a custom-built oversize cabinet which affords protection from fluctuating environments and deleterious particulates. An experienced textile conservator and conservation specialist will be hired for this purpose and a well-equipped conservation laboratory in the Museum made available to these personnel. The textile materials derive from archaeological contexts both in the American Southwest and the coast of Peru. It is rare for such fragile remains to be preserved, but in both areas the extremely dry climates provided protected environments. Many scientists who have worked with these materials have attested to their importance. In prehistoric societies textiles served many functions, and through analysis of them, scientists can gain insight into many aspects of prehistoric society. Analyses provide information on status differences and mechanisms of production and distribution. Examination of dyes and weaving techniques reveals information on technological advances and innovation. Ironically, archaeological materials are often best protected if left in the ground. If museum storage conditions are inadequate, objects which have survived for thousands of years unattended can rapidly decompose. This project is important because it will assist in the preservation of archaeologically significant specimens and make them available to a wide range of researchers."
